title,content,url,date,category,file_name,language,covid,health,political,weather,crime,legal,sports,economic,general,education,lifestyle,business,tech,auto,entertainment,arts
"Daily Covid-19 cases count hits 1,273 today","The Health Ministry says that another 1,273 persons have tested positive for Covid-19 today, bringing the total infections registered in the country thus far to 635,606. According to official figures, 596,891 positive cases have recovered.Following the new development, the number of virus-infected people who are undergoing treatment moved to 22,746. Meanwhile, the death toll stands at 15,969.",http://www.adaderana.lk/news/80703/daily-covid-19-cases-count-hits-1273-today,2022-02-19,"covid, health",data/valid_records/Tharusha_64.json,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
இந்தியாவுக்கு விரைவில் வருகை தரும் இலங்கை நிதி அமைச்சர் பஷில் ராஜபக்,"இலங்கை நிதி அமைச்சர் பஷில் ராஜபக்ஷ, இந்தியாவிற்கு அதிகாரபூர்வ விஜயமொன்றை மேற்கொள்ளவுள்ளார்.நிதி அமைச்சருடன், நிதி அமைச்சின் செயலாளர் எஸ்.ஆர்.ஆட்டிகலவும் இந்த விஜயத்தில் இணைந்துக்கொள்ளவுள்ளதாக தெரிவிக்கப்படுகின்றது.இலங்கை எதிர்நோக்கியுள்ள பாரிய பொருளாதார சிக்கல் நிலைமையிலிருந்து மீள்வதற்கு இந்தியா உதவிகளை வழங்க முன்வந்துள்ளது.இதன்படி, இந்தியாவிடமிருந்து உதவிகளை பெற்றுக்கொள்ளும் நோக்கிலேயே, இந்த விஜயம் அமையவுள்ளதாக நிதி அமைச்சின் தகவல்கள் தெரிவிக்கின்றன.இந்தியாவினால் வழங்கப்படும் கடனுதவியின் ஒரு தொகையை பெற்றுக்கொள்வதற்காக நிதி அமைச்சர் இந்த மாத இறுதியில் இந்தியா செல்வார் என வெளிவிவகார அமைச்சர் ஜீ.எல்.பீரிஸ் தெரிவித்திருந்தார்.",https://www.bbc.com/tamil/topics/cz74k7p3qw7t,2022-02-23,political,data/valid_records/Kajaani_tamil_124.json,ta,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Met. Dept. issues advisory for severe lightning,"Thundershowers accompanied by severe lightning are likely to occur at several places in Western, Sabaragamuwa, Central, Southern and Uva provinces

Batticaloa and Ampara districts, the Department of Meteorology said in a weather advisory issued today.

Fairly heavy showers above 50 mm can be expected at some places in Western, Sabaragamuwa, Central and Uva provinces and in Galle, Matara and Ampara districts.

There may be temporary localized strong winds during thundershowers.

The general public is urged to take adequate precautions to minimize damages caused by lightning activity.",http://www.adaderana.lk/news/80850/met-dept-issues-advisory-for-severe-lightning,2022-02-26,weather,data/valid_records/Yathursiya_en_117.json,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
யாழிலிருந்து முல்லைத்தீவு சென்று தாக்குதல் மேற்கொண்ட 13 பேருக்கு பிணை,"யாழ்ப்பாணத்திலிருந்து முல்லைத்தீவு – அலம்பில் பகுதிக்கு சென்று தாக்குதல் மேற்கொண்ட 13 பேருக்கு பிணை வழங்கப்பட்டுள்ளது.முல்லைத்தீவு நீதவான் நீதிமன்றத்தில் சந்தேகநபர்கள் ஆஜர்படுத்தப்பட்ட போது, தலா 02 இலட்சம் ரூபா பெறுமதியான சரீர பிணையில் செல்வதற்கு நீதவான் உத்தரவிட்டதாக பொலிஸார் கூறினர்.பாதிக்கப்பட்டவர்களுக்கு உரிய நட்டஈட்டை செலுத்துவதாகவும் சமாதான ரீதியில் சிக்கலை நிவர்த்திப்பதாகவும் சந்தேகநபர்கள் சார்பில் மன்றுக்கு உறுதியளித்ததையடுத்து, சந்தேகநபர்களுக்கு பிணை வழங்கப்பட்டுள்ளது.யாழ். காங்கேசன்துறை, நல்லிணக்கபுரம், மாவிட்டபுரம் மற்றும் கீரிமலை ஆகிய பகுதிகளை சேர்ந்தவர்களுக்கே பிணை வழங்கப்பட்டுள்ளது.யாழ்ப்பாணத்திலிருந்து முல்லைத்தீவு – அலம்பில் பகுதிக்கு மினி பஸ் ஒன்றில் சென்றவர்களால் நேற்று முன்தினம்(20) பிற்பகல் தாக்குதல் மேற்கொள்ளப்பட்டுள்ளது.இதன்போது காயமடைந்த 05 பேர் மாஞ்சோலை வைத்தியசாலையில் அனுமதிக்கப்பட்டுள்ளனர்.",https://www.newsfirst.lk/tamil/2022/02/22/%e0%ae%af%e0%ae%be%e0%ae%b4%e0%ae%bf%e0%ae%b2%e0%ae%bf%e0%ae%b0%e0%af%81%e0%ae%a8%e0%af%8d%e0%ae%a4%e0%af%81-%e0%ae%ae%e0%af%81%e0%ae%b2%e0%af%8d%e0%ae%b2%e0%af%88%e0%ae%a4%e0%af%8d%e0%ae%a4%e0%af%80/,2022-02-22,"crime,legal",data/valid_records/Kajaani_tamil_42.json,ta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
இந்திய அணிக்கு 184 ஓட்டங்கள் வெற்றி இலக்கு,"இந்தியா மற்றும் இலங்கை அணிகளுக்கிடையிலான இரண்டாவது இருபதுக்கு20 போட்டியில் இலங்கை அணி இந்திய அணிக்கு 184 ஓட்டங்களை வெற்றி இலக்காக நிர்ணயித்துள்ளது.

போட்டியில் நாணய சுழற்சியில் வெற்றி பெற்ற இந்திய அணி முதலில் களத்தடுப்பில் ஈடுபட தீர்மானித்தது.இதற்கமைய, முதலில் துடுப்பெடுத்தாடிய இலங்கை அணி 20 ஓவர்கள் நிறைவில் 05 விக்கெட்டுக்களை இழந்து 183 ஓட்டங்களை பெற்றுக்கொண்டது.

அணிசார்பில் அதிகபடியாக பெத்தும் நிஸ்ஸங்க 75 ஓட்டங்களையும், தனுஷ்க குணதிலக்க 38 ஓட்டங்களையும், தசுன் சானக்க 47 ஓட்டங்களையும் பெற்றுக்கொடுத்தனர்.

பந்துவீச்சில் இந்திய அணியின் ஜஸ்பிரித் பும்ரா 24ஓட்டங்களுக்கு ஒரு விக்கெட்டை கைப்பற்றினார்.

இந்நிலையில் இந்திய அணி 184 என்ற வெற்றி இலக்கை நோக்கி துடுப்பெடுத்தாட தயாராக உள்ளது.",https://www.hirunews.lk/sooriyanfmnews/298140/%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF-%E0%AE%85%E0%AE%A3%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-184-%E0%AE%93%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%B5%E0%AF%86%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%BF-%E0%AE%87%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81,2022-02-26,sports,data/valid_records/Yathursiya_tamil_124.json,ta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wanindu Hasaranga : SLC official update,"Wanindu Hasaranga, who was in isolation after contracting Covid-19, has once again, returned a positive result when a Rapid Antigen Test (RAT) was conducted on the player yesterday (22nd February).A PCR test too confirmed the result.He was first found to be positive during a Rapid Antigen Test (RAT) conducted on the 15th February 2022.The player was transferred to Melbourne from Canberra and will remain in isolation until he returns a negative PCR Test Report.",https://www.cricwire.lk/2022/02/23/wanindu-hasaranga-slc-official-update/,2022-02-23,"sports,covid",data/valid_records/Kajaani_eng_71.json,en,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
தேசிய பணம் அனுப்பும் மொபைல் செயலியான 'லங்கா ரெமிட்' உடன் கொம்பாங்க் இணைந்துள்ளது,"நாட்டிற்கு உள்நோக்கி பணம் அனுப்புவதற்கு வசதியாக மத்திய வங்கியின் சமீபத்திய முயற்சிக்கு ஆதரவளிக்கும் வகையில் பங்கேற்பு வங்கியாக ´லங்கா ரெமிட்´ என்ற தேசிய பணம் அனுப்பும் மொபைல் செயலியில் இணைந்துள்ளதாக கொமர்ஷல் வங்கி அறிவித்துள்ளது.

பங்காளி வங்கிகளின் ஆதரவுடன் LankaClear (Pvt) Ltd. ஆல் உருவாக்கப்பட்டது இந்த மொபைல் அப்ளிகேஷன் வெளிநாடுகளில் பணிபுரியும் இலங்கையர்களுக்கு தற்போதுள்ள பணம் அனுப்பும் சேனல்களுக்கு நேரடி அணுகலை வழங்குகிறது மேலும் இலங்கைக்கு பணம் அனுப்புவதற்கு மிகவும் வசதியான மற்றும் செலவு குறைந்த சேனல்களைத் தேர்வுசெய்ய அவர்களுக்கு உதவுகிறது.

பணம் அனுப்பும் துறையில் நாட்டிலுள்ள மிகவும் சுறுசுறுப்பான வீரர்களில் ஒருவரான கொமர்ஷல் வங்கி கடந்த ஆண்டு தொடர்ச்சியான பணப்பரிமாற்ற ஊக்குவிப்புகளை ஆரம்பித்தது. இவற்றில் சமீபத்திய ´வின் எ மில்லியன்´ என்பது நான்கு மாதங்களில் நான்கு உடனடி கோடீஸ்வரர்களை உருவாக்கும் பிரச்சாரம் ஆகும். வங்கியானது 2003 இல் eRemittance க்கு முன்னோடியாக இருந்ததுடன் 2016 இல் இலங்கையின் முதல் பணம் அனுப்பும் அட்டையை அறிமுகப்படுத்தியது. அத்துடன் அவசரநிலைகளின் போது முழுமையான ரொக்க முன்பணக் கடன் வசதியையும் அறிமுகப்படுத்தியது.

இலங்கையின் முதல் 100% கார்பன் பாவனையினை குறைத்த வங்கி உலகின் தலைசிறந்த 1000 வங்கிகளில் தொடர்ந்தும் 11 வருடங்களாக பட்டியலிடப்பட்ட ஒரேயொரு இலங்கை வங்கி கொமர்ஷல் வங்கியாகும். கொமர்ஷல் வங்கி வலையமைப்பினைக் கொண்ட 268 கிளைகள் மற்றும் 938 தானியங்கி இயந்திரங்களை கொண்டு இயங்குகின்றது. கொமர்ஷல் வங்கி இலங்கையின் சிறிய மற்றும் நடுத்தர வர்த்தகத் துறைக்கு பாரிய கடனுதவி வழங்குவதோடு நாட்டின் வங்கித் துறையில் டிஜிட்டல் புத்தாக்கங்களில் முன்னணியில் உள்ளது. வங்கியின் வெளிநாட்டு செயற்பாடுகள் பங்களாதேஷை உள்ளடக்கியதுரூபவ் அங்கு வங்கி 19 கிளைகளை இயக்குகின்றது: மியன்மார் நய் பியி தாவில் நுண்நிதி நிறுவனத்தினை கொண்டுள்ளது: மற்றும் மாலைதீவில் வங்கி பெரும்பான்மையான பங்குகளைக் கொண்ட முழு அளவிலான வங்கியாக காணப்படுகின்றது.",http://tamil.adaderana.lk/news.php?nid=157761,2021-02-21,economic,data/valid_records/Yathursiya_tamil_65.json,ta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Enjoining Order preventing Nursing Trade Union from carrying out strike extended till Feb.28,The Colombo District Court today further extended its  enjoining order preventing Government Nursing Officers' Association from carrying out trade union activities causing hardships to the patients.This enjoining order will be effective until February 28.,https://www.dailymirror.lk/latest_news/Enjoining-Order-preventing-Nursing-Trade-Union-from-carrying-out-strike-extended-till-Feb-28/342-231861,2022-02-25,legal,data/valid_records/Tharusha_217.json,en,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ප්‍රදේශ කිහිපයකට තරමක තද වැසි,"නැගෙනහිර සහ ඌව පළාත්වලත් පොළොන්නරුව, මාතලේ සහ හම්බන්තොට දිස්ත්‍රික්කවලත් වැසි වාර කිහිපයක් ඇති වන බව කාලගුණ විද්‍යා දෙපාර්තමේන්තුව පවසයි.

බස්නාහිර සහ සබරගමුව පළාත්වලත් ගාල්ල සහ මාතර දිස්ත්‍රික්කවලත් සවස් කාලයේදී හෝ රාත්‍රි කාලයේදී තැනින් තැන වැසි හෝ ගිගුරුම් සහිත වැසි ඇතිවේ.

රත්නපුර, ගාල්ල සහ මාතර දිස්ත්‍රික්කවල ඇතැම් ස්ථාන වලට මි.මී. 50ට වැඩි තරමක තද වැසි ද ඇතිවිය හැක.

ගිගුරුම් සහිත වැසි සමග ඇතිවිය හැකි තාවකාලික තද සුළං වලින් සහ අකුණු මඟින් සිදු වන අනතුරු අවම කර ගැනීමට අවශ්‍ය පියවර ගන්නා ලෙස කාලගුණ විද්‍යා දෙපාර්තමේන්තුව ජනතාවගෙන් ඉල්ලා සිටී.",http://sinhala.adaderana.lk/news/164631/%E0%B6%B4%E0%B7%8A%E2%80%8D%E0%B6%BB%E0%B6%AF%E0%B7%9A%E0%B7%81-%E0%B6%9A%E0%B7%92%E0%B7%84%E0%B7%92%E0%B6%B4%E0%B6%BA%E0%B6%9A%E0%B6%A7-%E0%B6%AD%E0%B6%BB%E0%B6%B8%E0%B6%9A-%E0%B6%AD%E0%B6%AF-%E0%B7%80%E0%B7%90%E0%B7%83%E0%B7%92,2022-02-27,weather,data/valid_records/Yathursiya_sin_29.json,si,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan names 88 suspects in Priyantha Kumara killing,"Police in Sialkot have submitted a challan to the prosecution, naming 88 suspects in the killing of Sri Lankan factory manager Priyantha Kumara Diyawadana last December.The videos of the horrific incident have also been included in the challan, reports ‘The Express Tribune.’A colleague of Priyantha, Malik Adnan, who was seen confronting a group of angry men to shield the Sri Lankan man from the angry mob, has been named as a witness in the case.The prosecution team will review the challan and the trial is expected to start next week by a special anti-terrorism court at Lahore’s Kot Lakhpat Jail where the suspects have been transferred from Sialkot.",https://ceylontoday.lk/news/pakistan-names-88-suspects-in-priyantha-kumara-killing,2022-02-27,crime,data/valid_records/Kajaani_eng_162.json,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
